CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit,Total_Revolving_Bal,,,,,,,,,,,
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,13535,1291,,,,,,,,,,,
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,3193,2517,,,,,,,,,,,
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,14470,1157,,,,,,,,,,,
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,20979,1800,,,,,,,,,,,
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,1438.3,0,,,,,,,,,,,
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,4470,680,,,,,,,,,,,
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,2492,1560,,,,,,,,,,,
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,12217,0,,,,,,,,,,,
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,7768,1669,,,,,,,,,,,
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,14784,1374,,,,,,,,,,,
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,10215,1010,,,,,,,,,,,
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,10100,0,,,,,,,,,,,
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,4785,1362,,,,,,,,,,,
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,2753,1811,,,,,,,,,,,
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,2451,1690,,,,,,,,,,,
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,8923,2517,,,,,,,,,,,
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,2650,1490,,,,,,,,,,,
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,12555,1696,,,,,,,,,,,
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,3520,1914,,,,,,,,,,,
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,3035,2298,,,,,,,,,,,
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,15433,0,,,,,,,,,,,
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,3672,886,,,,,,,,,,,
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,7882,605,,,,,,,,,,,
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,32426,578,,,,,,,,,,,
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,6205,2204,,,,,,,,,,,
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,17304,2517,,,,,,,,,,,
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,3906,0,,,,,,,,,,,
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,9830,2055,,,,,,,,,,,
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,34516,0,,,,,,,,,,,
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,2283,1430,,,,,,,,,,,
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,2548,2020,,,,,,,,,,,
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,19458,1435,,,,,,,,,,,
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,4745,1227,,,,,,,,,,,
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,2622,1549,,,,,,,,,,,
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,1438.3,808,,,,,,,,,,,
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,3171,2179,,,,,,,,,,,
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,19763,2517,,,,,,,,,,,
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,15769,0,,,,,,,,,,,
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,3298,2200,,,,,,,,,,,
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,2802,2363,,,,,,,,,,,
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,4458,1880,,,,,,,,,,,
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,6273,978,,,,,,,,,,,
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,3336,1753,,,,,,,,,,,
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,3436,2016,,,,,,,,,,,
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,34516,0,,,,,,,,,,,
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,5926,1251,,,,,,,,,,,
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,23957,2102,,,,,,,,,,,
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,14734,1634,,,,,,,,,,,
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,34516,1515,,,,,,,,,,,
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,6584,1817,,,,,,,,,,,
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,2084,1468,,,,,,,,,,,
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,1687,1107,,,,,,,,,,,
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,25300,1330,,,,,,,,,,,
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,34516,1763,,,,,,,,,,,
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,2216,1034,,,,,,,,,,,
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,2910,2030,,,,,,,,,,,
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,22913,1528,,,,,,,,,,,
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,24312,1932,,,,,,,,,,,
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,5272,1515,,,,,,,,,,,
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,7000,2517,,,,,,,,,,,
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,7038,1801,,,,,,,,,,,
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,2536,1823,,,,,,,,,,,
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,28904,1899,,,,,,,,,,,
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,8567,1695,,,,,,,,,,,
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,34516,1533,,,,,,,,,,,
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,2158,0,,,,,,,,,,,
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,10133,1417,,,,,,,,,,,
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,34516,1219,,,,,,,,,,,
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,3085,1910,,,,,,,,,,,
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,19040,2056,,,,,,,,,,,
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,4026,0,,,,,,,,,,,
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,12756,837,,,,,,,,,,,
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,5266,0,,,,,,,,,,,
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,9930,0,,,,,,,,,,,
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,31302,1953,,,,,,,,,,,
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,6576,0,,,,,,,,,,,
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,2664,2037,,,,,,,,,,,
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,2535,2440,,,,,,,,,,,
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,1709,895,,,,,,,,,,,
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,3454,1200,,,,,,,,,,,
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,3789,1706,,,,,,,,,,,
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,9689,2250,,,,,,,,,,,
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,5449,1628,,,,,,,,,,,
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,23032,1960,,,,,,,,,,,
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34516,2053,,,,,,,,,,,
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,2940,1264,,,,,,,,,,,
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,3031,1879,,,,,,,,,,,
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,1862,0,,,,,,,,,,,
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,8358,926,,,,,,,,,,,
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,34516,931,,,,,,,,,,,
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,14450,2440,,,,,,,,,,,
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,1438.3,0,,,,,,,,,,,
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,33791,1960,,,,,,,,,,,
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,8466,1886,,,,,,,,,,,
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,15088,865,,,,,,,,,,,
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,3263,1674,,,,,,,,,,,
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,1494,706,,,,,,,,,,,
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,13551,1294,,,,,,,,,,,
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,18886,895,,,,,,,,,,,
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,11976,1273,,,,,,,,,,,
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,9964,1559,,,,,,,,,,,
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,24159,1196,,,,,,,,,,,
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,5362,1901,,,,,,,,,,,
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,34516,1023,,,,,,,,,,,
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,3174,1951,,,,,,,,,,,
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,12262,1836,,,,,,,,,,,
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,3788,1540,,,,,,,,,,,
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,34516,1527,,,,,,,,,,,
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,2926,0,,,,,,,,,,,
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,32090,0,,,,,,,,,,,
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,11669,2227,,,,,,,,,,,
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,13532,1300,,,,,,,,,,,
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,11888,2090,,,,,,,,,,,
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,2393,1985,,,,,,,,,,,
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,6111,2517,,,,,,,,,,,
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,19270,1662,,,,,,,,,,,
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,3710,2517,,,,,,,,,,,
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,3235,797,,,,,,,,,,,
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,11749,788,,,,,,,,,,,
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,7753,2100,,,,,,,,,,,
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,10408,1186,,,,,,,,,,,
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,3967,1568,,,,,,,,,,,
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,6205,2517,,,,,,,,,,,
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,8025,0,,,,,,,,,,,
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,9036,2327,,,,,,,,,,,
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,14926,2517,,,,,,,,,,,
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,6335,1128,,,,,,,,,,,
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,14979,0,,,,,,,,,,,
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,2732,0,,,,,,,,,,,
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,2250,2117,,,,,,,,,,,
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,10916,1536,,,,,,,,,,,
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,5349,1228,,,,,,,,,,,
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,9366,1104,,,,,,,,,,,
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,21617,0,,,,,,,,,,,
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,13860,1652,,,,,,,,,,,
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,18386,0,,,,,,,,,,,
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,2405,1540,,,,,,,,,,,
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,2154,930,,,,,,,,,,,
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,2038,0,,,,,,,,,,,
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,8135,0,,,,,,,,,,,
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,9364,618,,,,,,,,,,,
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,32643,0,,,,,,,,,,,
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,3195,1954,,,,,,,,,,,
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,2852,1024,,,,,,,,,,,
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,4224,1305,,,,,,,,,,,
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,20459,2071,,,,,,,,,,,
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,3482,2114,,,,,,,,,,,
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,3065,1570,,,,,,,,,,,
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,2185,1761,,,,,,,,,,,
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,1611,746,,,,,,,,,,,
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,2822,2173,,,,,,,,,,,
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,32975,2517,,,,,,,,,,,
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,1438.3,0,,,,,,,,,,,
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,15875,1719,,,,,,,,,,,
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,6703,893,,,,,,,,,,,
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,3212,0,,,,,,,,,,,
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,34516,1260,,,,,,,,,,,
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,9797,1434,,,,,,,,,,,
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,10400,1777,,,,,,,,,,,
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,26792,1836,,,,,,,,,,,
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,3006,2517,,,,,,,,,,,
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,19482,1072,,,,,,,,,,,
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,3356,985,,,,,,,,,,,
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,5771,2248,,,,,,,,,,,
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,11106,2107,,,,,,,,,,,
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,2890,2001,,,,,,,,,,,
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,3380,1701,,,,,,,,,,,
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,21331,1251,,,,,,,,,,,
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,12860,0,,,,,,,,,,,
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,6278,462,,,,,,,,,,,
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,1438.3,738,,,,,,,,,,,
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,9355,1626,,,,,,,,,,,
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,20758,0,,,,,,,,,,,
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,14612,1976,,,,,,,,,,,
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27259,0,,,,,,,,,,,
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,6347,1594,,,,,,,,,,,
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,21592,1676,,,,,,,,,,,
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,3449,1598,,,,,,,,,,,
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,6028,799,,,,,,,,,,,
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,18214,1998,,,,,,,,,,,
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,16393,1423,,,,,,,,,,,
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,1438.3,900,,,,,,,,,,,
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,7871,1687,,,,,,,,,,,
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,5288,866,,,,,,,,,,,
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,11376,2006,,,,,,,,,,,
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,12302,1632,,,,,,,,,,,
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,34516,1679,,,,,,,,,,,
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,34516,1468,,,,,,,,,,,
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,10514,1580,,,,,,,,,,,
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,1438.3,0,,,,,,,,,,,
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,1438.3,0,,,,,,,,,,,
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,2619,1779,,,,,,,,,,,
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,24407,2395,,,,,,,,,,,
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,2377,1649,,,,,,,,,,,
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,34516,1359,,,,,,,,,,,
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,11086,2207,,,,,,,,,,,
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,11432,2517,,,,,,,,,,,
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,13258,1721,,,,,,,,,,,
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,2571,1955,,,,,,,,,,,
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,5781,1168,,,,,,,,,,,
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,7872,2509,,,,,,,,,,,
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,34516,1202,,,,,,,,,,,
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,11127,1835,,,,,,,,,,,
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,1857,1603,,,,,,,,,,,
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,1913,1272,,,,,,,,,,,
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,3839,2295,,,,,,,,,,,
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,2115,1141,,,,,,,,,,,
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,1438.3,679,,,,,,,,,,,
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,27756,1789,,,,,,,,,,,
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,1438.3,0,,,,,,,,,,,
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,13878,2222,,,,,,,,,,,
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,3106,1304,,,,,,,,,,,
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,34516,1666,,,,,,,,,,,
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,1438.3,1025,,,,,,,,,,,
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,18871,1740,,,,,,,,,,,
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,5207,1748,,,,,,,,,,,
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,17965,1644,,,,,,,,,,,
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,2733,1819,,,,,,,,,,,
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,8863,1301,,,,,,,,,,,
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,1857,1833,,,,,,,,,,,
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,34516,0,,,,,,,,,,,
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,11107,1222,,,,,,,,,,,
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,21573,1585,,,,,,,,,,,
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,2859,2517,,,,,,,,,,,
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,5269,1475,,,,,,,,,,,
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,1438.3,0,,,,,,,,,,,
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,3387,0,,,,,,,,,,,
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,1982,1289,,,,,,,,,,,
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,4645,1650,,,,,,,,,,,
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,2189,1666,,,,,,,,,,,
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,2442,0,,,,,,,,,,,
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,21304,1532,,,,,,,,,,,
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,7577,2480,,,,,,,,,,,
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,3234,1486,,,,,,,,,,,
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,4469,1125,,,,,,,,,,,
719731458,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,2910,709,,,,,,,,,,,
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,3616,1054,,,,,,,,,,,
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,3252,1495,,,,,,,,,,,
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,2358,1152,,,,,,,,,,,
715432608,Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,22322,953,,,,,,,,,,,
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,3133,1510,,,,,,,,,,,
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,3540,849,,,,,,,,,,,
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,6990,1378,,,,,,,,,,,
